Rank,Market,State,Counties  (or county-equivalents)  covered,TV households (2019–20),Local ABC affiliate,Local CBS affiliate,Local NBC affiliate,Local Fox affiliate,Local CW affiliate,Local MyNetworkTV affiliate,Local PBS member station,Local Ion Television affiliate,Local Telemundo affiliate,Local Univision affiliate,Local Independent stations,Other significant television stations
38,Greenville-Spartanburg-Asheville-Anderson,South Carolina,"South Carolina: Abbeville, Anderson, Cherokee, Greenville, Greenwood, Laurens, Oconee, Pickens, Spartanburg, Union
North Carolina: Buncombe, Graham, Haywood, Henderson, Jackson, Macon, Madison, McDowell, Mitchell, Polk, Rutherford, Swain, Transylvania, Yancey
Georgia:Elbert, Franklin, Hart, Stephens","787,930 (0.736%)",WLOS 13,WSPA-TV 7,WYFF 4,WHNS 21,WYCW 62,WMYA-TV 40,WNTV 29WUNF-TV 33,WSPA-TV 7.3,,,,
39,Las Vegas,Nevada,"Clark, Lincoln, Nye","743,220 (0.695%)",KTNV-TV 13,KLAS-TV 8,KSNV 3,KVVU-TV 5,KVCW 33,KVCW 33.2,KLVX 10,KBLR 39.3,KBLR 39,KINC-TV 15,,KEEN-CD 17 (CTN)K36NE-D (3ABN)
40,Austin,Texas,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Mason, Travis, Williamson","736,770 (0.689%)",KVUE 24,KEYE-TV 42,KXAN-TV 36,KTBC 7,KNVA 54,KBVO 14,KLRU 18,KXAN-TV 36.3,KEYE-TV 42.2,KAKW-DT 62,,
41,Jacksonville,Florida,"Florida:Baker, Bradford, Clay, Columbia, Duval, Nassau, Putnam, St. Johns, Union
Georgia:Brantley, Camden, Charlton, Glynn, Pierce, Ware","690,400 (0.645%)",WJXX 25,WJAX-TV 47,WTLV 12,WFOX-TV 30,WCWJ 17,WFOX-TV 30.2,WJCT 7,WPXC-TV 21,,,"WJXT 4
WUJX-LD 18",WKBJ-LD 20 (Buzzr)W50CO (3ABN)
42,Norfolk-Portsmouth-Newport News,Virginia,"Virginia:Accomack, Chesapeake (city), Franklin (city),[3]Gloucester, Hampton (city), Isle of Wight, James City, Mathews, Newport News (city), Norfolk (city), Northampton, Poquoson (city), Portsmouth (city), Southampton, Suffolk (city), Surry, Virginia Beach (city), Williamsburg (city),[3]York
North Carolina: Camden, Chowan, Currituck, Dare, Gates, Hertford, Pasquotank, Perquimans","684,310 (0.639%)",WVEC 13,WTKR 3,WAVY-TV 10,WVBT 43,WGNT 27,WTVZ-TV 33,WHRO-TV 15,WPXV-TV 49,,,WSKY-TV 4,
43,Oklahoma City,Oklahoma,"Alfalfa, Beckham, Blaine, Caddo, Canadian, Cleveland, Custer, Dewey, Ellis, Garfield, Garvin, Grady, Grant, Greer, Harmon, Harper, Hughes, Kay, Kingfisher, Kiowa, Lincoln, Logan, Major, McClain, Murray, Noble, Oklahoma, Payne, Pottawatomie, Roger Mills, Seminole, Washita, Woods, Woodward","666,690 (0.623%)",KOCO-TV 5,KWTV-DT 9,KFOR-TV 4,KOKH-TV 25,KOCB 34,KSBI-TV 52,KETA-TV 13,KOPX-TV 62,KTUZ-TV 30,KTUZ-DT 36/KUOK 35,KAUT-TV 43,KTBO-TV 14 (TBN)KUOT-CD 21 (Cornerstone)
44,Birmingham (Anniston & Tuscaloosa),Alabama,"Bibb, Blount, Calhoun, Cherokee, Chilton, Clay, Cullman, Etowah, Fayette, Greene, Hale, Jefferson, Marion, Pickens, Shelby, St. Clair, Talladega, Tuscaloosa, Walker, Winston","666,170 (0.623%)","WBMA-LD 58/
WABM-DT2 68.2/
WDBB-DT2 17.2/
WGWW-DT2 40.2",WIAT 42,WVTM-TV 13,WBRC 6,WTTO 21/WDBB 17,WABM 68,WBIQ 10,WPXH-TV 44,,,,WTJP-TV 60 (TBN)WSES 33 (H&I)/WGWW 40 (H&I)
45,Grand Rapids-Kalamazoo-Battle Creek,Michigan,"Allegan, Barry, Branch, Calhoun, Ionia, Kalamazoo, Kent, Montcalm, Muskegon, Newaygo, Oceana, Ottawa, St. Joseph, Van Buren","653,100 (0.61%)",WOTV 41WZZM 13,WWMT 3,WOOD-TV 8,WXMI 17,WWMT-DT2 3.2,WXSP-CD 15,WGVU-TV 35,WZPX-TV 43,,,,W48CL (3ABN)WTLJ 54 (TCT)
46,Albuquerque-Santa Fe,New Mexico,"New Mexico:Bernalillo, Catron, Chaves, Cibola, Colfax, De Baca, Eddy, Grant, Guadalupe, Harding, Hidalgo, Lea (northern two-thirds), Lincoln, Los Alamos, Luna, McKinley, Mora, Otero, Rio Arriba, Sandoval, San Juan, San Miguel, Santa Fe, Sierra, Socorro, Taos, Torrance, Valencia
Colorado:Costilla, La Plata, Montezuma
Arizona:Apache (northern two-thirds)","648,350 (0.606%)",KOAT-TV 7,"KRQE 13/KBIM-TV 10/
KREZ-TV 6",KOB 4/KOBF 12/KOBR 8,"KRQE-DT2 13.2/
KBIM-DT2 10.2/
KREZ-DT2 6.2",KWBQ 19/KRWB-TV 21,KASY 50,KNME-TV 5KNMD-TV 9,KWBQ 19.4,KTEL-CD 15KASA-TV 2,KLUZ-TV 14,,K38IM (3ABN)KNAT-TV 23 (TBN)KTFQ-TV 41 (UniMás)KTFA-LP 48 (HSN)KTVS-LD 36 (Light TV)KYNM-CD 21 (Antenna TV)
47,Harrisburg-Lancaster-Lebanon-York,Pennsylvania,"Adams, Cumberland, Dauphin, Juniata, Lancaster, Lebanon, Mifflin, Perry, York","641,660 (0.6%)",WHTM-TV 27,WHP-TV 21,WGAL 8,WPMT 43,WHP-DT3 21.3,WHP-DT2 21.2,WITF-TV 33,WHTM-TV 27.2,,,WLYH 49,WXBU 15 (Comet)
48,Louisville,Kentucky,"Kentucky: Breckinridge, Bullitt, Carroll, Grayson, Green, Hardin, Henry, Jefferson, LaRue, Marion, Meade, Nelson, Oldham, Shelby, Spencer, Taylor, Trimble, Washington
Indiana:Clark, Crawford, Floyd, Harrison, Jackson, Jefferson, Jennings, Orange, Scott, Washington","636,150 (0.594%)",WHAS-TV 11,WLKY 32,WAVE 3,WDRB 41,WBKI 58,WBKI 58.3,WKPC-TV 15WKMJ-TV 68,WDRB 41.3,,,,
49,Greensboro–High Point–Winston-Salem,North Carolina,"North Carolina: Alamance, Alleghany, Caswell, Davidson, Davie, Forsyth, Guilford, Montgomery, Randolph, Rockingham, Stokes, Surry, Wilkes, Yadkin
Virginia:Grayson, Patrick","635,580 (0.594%)",WXLV-TV 45,WFMY-TV 2,WXII-TV 12,WGHP 8,WCWG 20,WMYV 48,WUNL-TV 26,WGPX-TV 16,,,,
50,New Orleans,Louisiana,"Louisiana:Jefferson, Lafourche, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, St. Tammany, Tangipahoa, Terrebonne, Washington
Mississippi:Hancock, Pearl River","615,480 (0.575%)",WGNO 26,WWL-TV 4,WDSU 6,WVUE-DT 8,WNOL-TV 38,WUPL 54,WYES-TV 12,WPXL 49,KGLA-TV 42,,,WHNO 20 (CTN)
51,Memphis,Tennessee,"Tennessee: Chester, Crockett, Dyer, Fayette, Gibson, Hardeman, Haywood, Lauderdale, McNairy, Shelby, Tipton
Arkansas: Crittenden, Cross, Lee, Mississippi, Phillips, Poinsett, St. Francis
Mississippi: Alcorn, Benton, Coahoma, DeSoto, Lafayette, Marshall, Panola, Quitman, Tate, Tippah, Tunica
Missouri: Pemiscot","580,600 (0.543%)",WATN-TV 24,WREG-TV 3,WMC-TV 5,WHBQ-TV 13,WLMT 30,KPMF-LD 26,WKNO 10,WPXX-TV 50,,,,WBUY-TV 40 (TBN)W50EA-D (3ABN)WQEK-LD 36 (Cozi TV)
52,Buffalo,New York,"New York: Allegany, Cattaraugus, Chautauqua, Erie, Genesee, Niagara, Orleans, Wyoming
Pennsylvania: McKean, Potter","576,710 (0.539%)",WKBW-TV 7,WIVB-TV 4,WGRZ 2,WUTV 29,WNLO 23,WNYO-TV 49,WNED-TV 17,WPXJ-TV 51,,,WBBZ-TV 67,
53,Fort Myers-Naples,Florida,"Charlotte, Collier, DeSoto, Glades, Hendry, Lee","564,250 (0.527%)",WZVN-TV 26,WINK-TV 11,WBBH-TV 20,WFTX-TV 36,WXCW 46,WINK-TV 11.2,WGCU 30,,WWDT-CD 43,WUVF-LD 2,,
54,Richmond-Petersburg,Virginia,"Amelia, Brunswick, Buckingham, Caroline, Charles City, Chesterfield, Colonial Heights (city),[3]Cumberland, Dinwiddie, Emporia (city),[3]Essex, Fluvanna, Goochland, Greensville, Hanover, Henrico, Hopewell (city),[3]King and Queen, King William, Lancaster, Louisa, Lunenburg, Middlesex, New Kent, Northumberland, Nottoway, Orange, Petersburg (city), Powhatan, Prince Edward, Prince George, Richmond, Richmond (city), Sussex","555,630 (0.519%)",WRIC-TV 8,WTVR-TV 6,WWBT 12,WRLH-TV 35,WUPV 65,WRLH-TV 35.2,WCVE-TV 23WCVW 57,WRIC-TV 8.2,WZTD-LD 45,,,
55,Fresno-Visalia,California,"Fresno, Kings, Madera, Mariposa, Merced, Tulare","550,860 (0.515%)",KFSN-TV 30,KGPE 47,KSEE 24,KMPH-TV 26,KFRE-TV 59,KAIL 7,KVPT 18,KNSO 51.3,KNSO 51,KFTV-DT 21,,
56,Providence-New Bedford,Rhode Island,"Rhode Island: Bristol, Kent, Newport, Providence, Washington
Massachusetts: Bristol","543,430 (0.508%)",WLNE-TV 6,WPRI-TV 12,WJAR 10,WNAC-TV 64,WNAC-DT2 64.2,WPRI-TV 12.2,WSBE-TV 36,WPXQ-TV 69,"WRIW-CD 51/
WYCN-LD 8",,,
57,Mobile-Pensacola (Navarre),Alabama,"Alabama: Baldwin, Clarke, Conecuh, Escambia, Mobile, Monroe, Washington
Florida: Escambia, Okaloosa, Santa Rosa
Mississippi: Greene","518,740 (0.485%)",WEAR-TV 3,WKRG-TV 5,WPMI-TV 15,WALA-TV 10,WFNA 55,WFGX 35,WEIQ 42WSRE 23,WKRG-TV 5.2,,,WJTC 44,
58,Tulsa,Oklahoma,"Oklahoma: Adair, Cherokee, Craig, Creek, Delaware, Haskell, Latimer, Mayes, McIntosh, Muskogee, Nowata, Okfuskee, Okmulgee, Osage, Pawnee, Pittsburg, Rogers, Tulsa, Wagoner, Washington
Kansas: Chautauqua, Montgomery","509,560 (0.476%)",KTUL 8,KOTV-DT 6,KJRH-TV 2,KOKI-TV 23,KQCW-DT 19,KMYT-TV 41,KOED-TV 11,KTPX-TV 44,KUTU-CD 25.2,KUTU-CD 25,,KWHB 47 (Family)KDOR-TV 17 (TBN)K40KC-D (3ABN)
59,Albany-Schenectady-Troy,New York,"New York: Albany, Columbia, Fulton, Greene, Hamilton, Montgomery, Rensselaer, Saratoga, Schenectady, Schoharie, Warren, Washington
Massachusetts: Berkshire
Vermont: Bennington","500,400 (0.468%)",WTEN 10,WRGB 6,WNYT 13,WXXA 23,WCWN 45,WNYA 51,WMHT-TV 17,WYPX-TV 55,,,,W44CT-D (3ABN)
60,Wilkes-Barre–Scranton–Hazleton,Pennsylvania,"Bradford, Carbon, Clinton, Columbia, Lackawanna, Luzerne, Lycoming, Monroe, Montour, Northumberland, Schuylkill, Snyder, Sullivan, Susquehanna, Union, Wayne, Wyoming","497,830 (0.465%)",WNEP-TV 16,WYOU 22,WBRE-TV 28,WOLF-TV 56,WSWB 38,WQMY 53,WVIA-TV 44,WQPX-TV 64,,,,
61,Knoxville,Tennessee,"Tennessee: Anderson, Blount, Campbell, Claiborne, Cocke, Cumberland, Fentress, Grainger, Hamblen, Hancock, Jefferson, Knox, Loudon, Monroe, Morgan, Roane, Scott, Sevier, Union
Kentucky: Bell, Harlan, McCreary","491,810 (0.46%)",WATE-TV 6,WVLT-TV 8,WBIR-TV 10,WTNZ 43,WBXX-TV 20,WVLT-TV 8.2,WKOP-TV 15,WPXK-TV 54,,,WKNX-TV 7,W14CX-D (3ABN)
62,Little Rock-Pine Bluff,Arkansas,"Arkansas, Bradley, Calhoun, Clark, Cleburne, Cleveland, Conway, Dallas, Desha, Drew, Faulkner, Garland, Grant, Hot Spring, Independence, Jackson, Jefferson, Johnson, Lincoln, Lonoke, Monroe, Montgomery, Ouachita, Perry, Pike, Polk, Pope, Prairie, Pulaski, Saline, Searcy, Stone, Van Buren, White, Woodruff, Yell","472,560 (0.442%)",KATV 7,KTHV 11,KARK-TV 4,KLRT-TV 16,KASN 38,KARZ-TV 42,KETS 2,,KQPS-LD 14,KLRA-CD 20,,
63,Dayton,Ohio,"Ohio: Auglaize, Champaign, Clark, Darke, Greene, Logan, Mercer, Miami, Montgomery, Preble, Shelby
Indiana: Wayne","445,240 (0.416%)",WKEF 22,WHIO-TV 7,WDTN 2,WRGT-TV 45,WBDT 26,WRGT-TV 45.2,WPTD 16,"WDTN 2.3
WKOI-TV 43",,,,
64,Lexington,Kentucky,"Anderson, Bath, Bourbon, Boyle, Breathitt, Casey, Clark, Clay, Estill, Fayette, Fleming, Franklin, Garrard, Harrison, Jackson, Jessamine, Knott, Knox, Laurel, Lee, Lincoln, Madison, Menifee, Mercer, Montgomery, Morgan, Nicholas, Owsley, Perry, Powell, Pulaski, Rockcastle, Rowan, Russell, Scott, Wayne, Whitley, Wolfe, Woodford","425,890 (0.398%)",WTVQ-DT 36,WKYT-TV 27 WYMT-TV 57,WLEX-TV 18,WDKY-TV 56,WKYT-DT2 27.2,WTVQ-DT 36.2,WKLE 46,WUPX-TV 67,,,,
65,Tucson (Sierra Vista),Arizona,"Cochise, Pima, Santa Cruz","421,820 (0.394%)",KGUN-TV 9,KOLD-TV 13,KVOA 4,KMSB 11,KWBA-TV 58,KTTU 18,KUAT-TV 6 KUAS-TV 27,KHRR 40.3,KHRR 40,"KUVE-DT 46/
KUVE-CD 42",,"KFTU-DT 3/
KFTU-CD 34 (UniMás)"
66,Honolulu,Hawaii,"Hawaii, Honolulu, Kalawao, Kauai, Maui","414,130 (0.387%)",KITV 4/KHVO 13/KMAU 12,KGMB 5/KOGG 13.2,KHNL 13/KHBC 2/KOGG 13,KHON-TV 2/ KHAW 11/KAII 7,KHON-DT2 2.2/KHAW-DT2 11.2/KAII-DT2 7.2,KHII-TV 9/KGMD 9/KGMV 3,KHET 11,KPXO-TV 66,KSIX-TV 6,,,KWHE 14 (Family)KAAH 26 (TBN)
67,Green Bay-Appleton,Wisconsin,"Wisconsin: Brown, Calumet, Door, Fond du Lac, Green Lake, Kewaunee, Manitowoc, Marinette, Menominee, Oconto, Outagamie, Shawano, Waupaca, Waushara, Winnebago
Michigan: Menominee","394,210 (0.368%)",WBAY-TV 2,WFRV-TV 5,WGBA-TV 26/WLWK-CD 22,WLUK-TV 11,WCWF 14,WACY-TV 32,WPNE-TV 38,WBAY-DT6 2.6,,,,W30BU (3ABN)
68,Des Moines-Ames,Iowa,"Iowa: Adair, Appanoose, Audubon, Boone, Calhoun, Carroll, Clarke, Dallas, Decatur, Franklin, Greene, Guthrie, Hamilton, Hardin, Humboldt, Jasper, Kossuth, Lucas, Madison, Mahaska, Marion, Marshall, Monroe, Pocahontas, Polk, Poweshiek, Ringgold, Story, Taylor, Union, Warren, Wayne, Webster, Wright
Missouri: Mercer","393,470 (0.368%)",WOI-DT 5,KCCI 8,WHO-DT 13,KDSM-TV 17,KCWI-TV 23,KCCI 8.3,KDIN-TV 11,KFPX-TV 39,,,,
69,Roanoke-Lynchburg,Virginia,"Virginia: Alleghany, Amherst, Appomattox, Bath, Bedford, Botetourt, Buena Vista (city),[3]Campbell, Carroll, Charlotte, Covington (city),[3]Craig, Danville (city),[3]Floyd, Franklin, Galax (city),[3]Giles, Halifax, Henry, Highland, Lexington (city),[3]Lynchburg (city),[3]Martinsville (city),[3]Montgomery, Nelson, Pittsylvania, Pulaski, Radford (city),[3]Roanoke, Roanoke (city),[3]Rockbridge, Salem (city),[3]Wythe
West Virginia: Pocahontas","384,120 (0.359%)",WSET-TV 13,WDBJ 7,WSLS-TV 10,WFXR 27,WWCW 21,"WZBJ 24/
WZBJ-CD 43",WBRA-TV 15,WPXR-TV 38,,,,
70,Spokane,Washington,"Washington: Adams, Asotin, Columbia, Ferry, Garfield, Grant, Lincoln, Okanogan, Pend Oreille, Spokane, Stevens, Whitman
Idaho: Benewah, Bonner, Boundary, Clearwater, Idaho, Kootenai, Latah, Lewis, Nez Perce, Shoshone
Montana: Lincoln
Oregon: Wallowa","381,590 (0.357%)",KXLY-TV 4,KLEW-TV 3KREM 2,KHQ-TV 6,KAYU-TV 28,KSKN 22,KAYU-TV 28.2,KSPS-TV 7,KGPX-TV 34,,,,KXMN-LD 9 (MeTV)KHBA-LD 35 (Hope Channel)
71,Omaha,Nebraska,"Nebraska: Burt, Butler, Cass, Colfax, Cuming, Dodge, Douglas, Johnson, Nemaha, Otoe, Pawnee, Platte, Richardson, Sarpy, Saunders, Washington
Iowa: Adams, Cass, Crawford, Fremont, Harrison, Mills, Montgomery, Page, Pottawattamie, Shelby
Missouri: Atchison","380,630 (0.356%)",KETV 7,KMTV-TV 3,WOWT 6,KPTM 42,KXVO 15,KPTM 42.2,KYNE-TV 26KBIN-TV 32,WOWT-DT4 6.4,KOHA-LD 27,,,
72,Wichita-Hutchinson Plus,Kansas,"Kansas: Barber, Barton, Butler, Chase, Cheyenne, Clark, Comanche, Cowley, Decatur, Dickinson, Edwards, Elk, Ellis, Ellsworth, Finney, Ford, Gove, Graham, Grant, Gray, Greeley, Greenwood, Hamilton, Harper, Harvey, Haskell, Hodgeman, Kearny, Kingman, Kiowa, Lane, Lincoln, Logan, Marion, McPherson, Meade, Mitchell, Ness, Norton, Osborne, Ottawa, Pawnee, Pratt, Rawlins, Reno, Rice, Rooks, Rush, Russell, Saline, Scott, Sedgwick, Seward, Sheridan, Sherman, Stafford, Stanton, Stevens, Sumner, Thomas, Trego, Wallace, Wichita
Nebraska: Dundy","378,930 (0.354%)","KAKE 10/
KUPK 13/
KLBY 4/
KHDS-LD 51/
KGBD-LD 30",KWCH-DT 12KBSD-DT 6KBSH-DT 7KBSL-DT 10,KSNW 3KSNC 2KSNG 11KSNK 8KSNL-LD 6,"KSAS-TV 24/
KAAS-TV 18/
KOCW 14/
KSAS-LP 17/
KAAS-LP 17",KSCW-DT 33,KMTW 36,"KPTS 8
KDCK 21/KWKS 19/KOOD 9/KSWK 3",KSNW 3.3,KSNW 3.2,KDCU-DT 31,,
73,"Springfield, MO",Missouri,"Missouri: Barry, Benton, Camden, Cedar, Christian, Dade, Dallas, Dent, Douglas, Greene, Hickory, Howell, Laclede, Lawrence, Oregon, Ozark, Phelps, Polk, Pulaski, Shannon, St. Clair, Stone, Taney, Texas, Webster, Wright
Arkansas: Baxter, Boone, Carroll, Fulton, Marion, Newton","373,700 (0.349%)",KSPR-LD 33/KYTV-DT 33.1,KOLR 10,KYTV 3,KRBK 49,KSPR-LD2 33.2/KYTV-DT 33.2,KOZL-TV 27,KOZK 21,KRBK-DT4 49.4,,,,K17DL-D (Tourist information)
74,Charleston-Huntington,West Virginia,"West Virginia: Boone, Braxton, Cabell, Calhoun, Clay, Jackson, Kanawha, Lincoln, Logan, Mason, Mingo, Nicholas, Putnam, Roane, Wayne, Wirt
Kentucky: Boyd, Carter, Elliott, Floyd, Greenup, Johnson, Lawrence, Lewis, Magoffin, Martin, Pike
Ohio: Athens, Gallia, Jackson, Lawrence, Meigs, Scioto, Vinton","367,290 (0.343%)",WCHS-TV 8,WOWK-TV 13,WSAZ-TV 3,WVAH-TV 11,WQCW 30,WSAZ-TV 3.2,WVPB-TV 33,WLPX-TV 29,,,,
75,"Columbia, SC",South Carolina,"Calhoun, Clarendon, Fairfield, Kershaw, Lee, Lexington, Newberry, Orangeburg, Richland, Sumter","365,850 (0.342%)",WOLO-TV 25,WLTX 19,WIS 10,WACH 57,WIS-DT 10.2,WKTC 63,WRLK-TV 35,WZRB 47,WKTC-DT 63.2,,,
76,"Rochester, NY",New York,"Livingston, Monroe, Ontario, Wayne, Yates","361,750 (0.338%)",WHAM-TV 13,WROC-TV 8,WHEC-TV 10,WUHF 31,WHAM-DT2 13.2,WBGT-CD 46,WXXI-TV 21,WPXJ-TV 51,,,,
77,Flint-Saginaw-Bay City,Michigan,"Arenac, Bay, Genesee, Gladwin, Gratiot, Huron, Iosco, Isabella, Midland, Ogemaw, Saginaw, Shiawassee, Tuscola","360,530 (0.337%)",WJRT-TV 12,WNEM-TV 5,WEYI-TV 25,WSMH 66,WBSF 46,WNEM-TV 5.2,WDCQ-TV 19WCMU-TV 14,WNEM-TV 5.4,,,,WAQP 49 (TCT)W24DL-D 42 (3ABN)
78,Huntsville-Decatur (Florence),Alabama,"Alabama: Colbert, DeKalb, Franklin, Jackson, Lauderdale, Lawrence, Limestone, Madison, Marshall, Morgan
Tennessee: Lincoln, Wayne","351,610 (0.329%)",WAAY-TV 31,WHNT-TV 19,WAFF 48,WZDX 54,WHDF 15,WZDX 54.2,WHIQ 25,WAAY-TV 31.2,,,,WTZT-CD 11 (Cozi TV)W34EY-D 38 (3ABN)
79,Portland-Auburn,Maine,"Maine: Androscoggin, Cumberland, Franklin, Kennebec, Knox, Lincoln, Oxford, Sagadahoc, York
New Hampshire: Carroll, Coös","349,470 (0.327%)",WMTW 8,WGME-TV 13,WCSH 6,WPFO 23,WPXT 51,WPXT 51.3,WMEA-TV 26,WIPL 35,,,,WFYW-LP 41 (3ABN)
80,Toledo,Ohio,"Ohio: Defiance, Fulton, Hancock, Henry, Lucas, Ottawa, Putnam, Sandusky, Seneca, Williams, Wood, Wyandot
Michigan: Lenawee","347,480 (0.325%)",WTVG 13,WTOL 11,WNWO-TV 24,WUPW 36,WTVG-DT2 13.2,,WGTE-TV 30WBGU-TV 27,WTVG-DT5 13.5,,,,
81,Madison,Wisconsin,"Columbia, Dane, Grant, Green, Iowa, Juneau, Lafayette, Marquette, Richland, Rock, Sauk","343,350 (0.321%)",WKOW 27,WISC-TV 3,WMTV 15,WMSN-TV 47,WMTV-DT2 15.2,WISC-TV 3.2,WHA-TV 21,WIFS 57.9,,,,
82,Waco-Temple-Bryan,Texas,"Bell, Brazos, Burleson, Coryell, Falls, Lampasas, Leon, Limestone, Madison, McLennan, Milam, Mills, Robertson, San Saba","333,300 (0.311%)","KXXV 25/
KRHD-CD 40",KWTX-TV 10,KAGS-LD 23KCEN-TV 6,KWKT-TV 44,KNCT 46,KYLE-TV 28,KAMU-TV 15,,KWTX-TV 10.2,,,
83,Harlingen-Weslaco-Brownsville-McAllen,Texas,"Cameron, Hidalgo, Starr, Willacy","331,520 (0.31%)",KRGV-TV 5,KVEO-TV 23.2,KVEO-TV 23,KFXV-LD 67/KXFX-CD 20,"KCWT-CD 21/XHRIO-TDT 15/
KNVO-DT4 48.4",KFXV-LD 67/KXFX-CD 20,KMBH 38.2,,KTLM 40,KNVO 48,KGBT-TV 4,"KTFV-CD 32 (UniMás)
XHMTA-TDT/XHREY-TDT 1 (A1)
XHTAM-TDT 2.1 (Las Estrellas) 
XHTAM-TDT 2.2 (Canal 5)
XHVTV-TDT 6 (Multimedios)
XHOR-TDT 7 (A7)
XHAB-TDT 8 (Televisa Regional)
XERV-TDT 9 (Las Estrellas)
XHCTRM-TDT 13 (Imagen)"
84,Paducah-Cape Girardeau-Harrisburg,Kentucky,"Kentucky: Ballard, Caldwell, Calloway, Carlisle, Crittenden, Fulton, Graves, Hickman, Livingston, Lyon, Marshall, McCracken
Missouri: Bollinger, Butler, Cape Girardeau, Carter, Dunklin, Madison, Mississippi, New Madrid, Perry, Reynolds, Ripley, Scott, Stoddard, Wayne
Illinois: Alexander, Franklin, Gallatin, Hamilton, Hardin, Jackson, Jefferson, Johnson, Massac, Perry, Pope, Pulaski, Saline, Union, Williamson
Tennessee: Lake, Obion, Weakley","330,920 (0.309%)","WSIL-TV 3/
KPOB-TV 15",KFVS-TV 12,WPSD-TV 6,KBSI 23,"WQWQ-LP 9/
WQTV-LP 24/
KFVS-DT2 12.2",WDKA 49,WKPD 29WSIU-TV 8,,,,,W15BU-D (3ABN)
85,Colorado Springs-Pueblo,Colorado,"Baca, Bent, Cheyenne, Crowley, El Paso, Fremont, Huerfano, Kiowa, Las Animas, Otero, Pueblo, Teller","327,530 (0.306%)",KRDO-TV 13,KKTV 11,KOAA-TV 5,KXRM-TV 21,"KXTU-LD 57/
KXRMDT 21.2",KKTV-DT2 11.2,KTSC 8,KXRM-TV 21.3,KTLO-LP 49,KVSN-DT 48,,KZCS-LP 23 (Azteca)KWHS-LD 51 (LeSEA)
86,Shreveport,Louisiana,"Louisiana: Bienville, Bossier, Caddo, Claiborne, DeSoto, Natchitoches, Red River, Sabine, Webster
Texas: Bowie, Camp, Cass, Harrison, Marion, Morris, Panola, Red River, Sabine, Shelby, Titus
Arkansas: Columbia, Hempstead, Howard, Lafayette, Little River, Miller, Nevada, Sevier
Oklahoma: McCurtain","321,190 (0.3%)",KTBS-TV 3,KSLA 12,KTAL-TV 6,KMSS-TV 33,KPXJ 21,KSHV-TV 45,KLTS-TV 24,KSHV-TV 45.3,,,,K42FE-D (3ABN)
87,Syracuse,New York,"Cayuga, Cortland, Madison, Oneida (western 80%), Onondaga, Oswego, Seneca, Tompkins","320,830 (0.3%)",WSYR-TV 9,WTVH 5,WSTM-TV 3,WSYT 68,WSTQ-LP 14/WSTM-DT 3.2,WSYT-DT3 43,WCNY-TV 24,WSPX-TV 56,,,,
88,Champaign & Springfield-Decatur,Illinois,"Champaign, Christian, Coles, Cumberland, DeWitt, Douglas, Effingham, Ford, Iroquois, Logan, Macon, Menard, Morgan, Moultrie, Piatt, Sangamon, Shelby, Vermilion","315,780 (0.295%)",WICD 15/WICS 20,WCIA 3,WAND 17,"WCCU 27/
WRSP-TV 55",WBUI 23,WCIX 49,WILL-TV 12WSEC 14,WAND 17.3,,,,W07DD-D (3ABN)
89,Savannah,Georgia,"Georgia: Appling, Bacon, Bryan, Bulloch, Candler, Chatham, Effingham, Evans, Jeff Davis, Liberty, Long, McIntosh, Montgomery, Screven, Tattnall, Toombs, Wayne
South Carolina: Beaufort, Hampton, Jasper","315,400 (0.295%)",WJCL 22,WTOC-TV 11,WSAV-TV 3,WTGS 28,WSAV-DT2 3.2,WSAV-TV 3.2,WVAN-TV 9WJWJ-TV 16,,,,,
90,Cedar Rapids-Waterloo-Iowa City & Dubuque,Iowa,"Allamakee, Benton, Black Hawk, Bremer, Buchanan, Butler, Cedar, Chickasaw, Clayton, Delaware, Dubuque, Fayette, Grundy, Iowa, Johnson, Jones, Keokuk, Linn, Tama, Washington, Winneshiek","311,260 (0.291%)",KCRG-TV 9,KGAN 2,KWWL 7,KFXA 28,KWWL-DT2 7.2,KCRG-TV 9.2,KRIN 32,KPXR-TV 48,,,,
91,"Charleston, SC",South Carolina,"Berkeley, Charleston, Colleton, Dorchester, Georgetown, Williamsburg","309,250 (0.289%)",WCIV-DT2 36.2,WCSC-TV 5,WCBD-TV 2,WTAT-TV 24,WCBD-DT2 2.2,WCIV 36,WITV 7,WCBD-TV 2.3,,,,
92,Chattanooga,Tennessee,"Tennessee: Bledsoe, Bradley, Grundy, Hamilton, Marion, McMinn, Meigs, Polk, Rhea, Sequatchie
Georgia: Catoosa, Dade, Fannin, Murray, Walker, Whitfield
North Carolina: Cherokee","305,340 (0.285%)",WTVC 9 (Fox on DT2),WDEF-TV 12,WRCB 3,WTVC-DT2 9.2,WFLI-TV 53,WFLI-TV 53.2,WTCI 45,,,,,WDSI-TV 61 (This TV; Comet on DT2)WELF-TV 23 (TBN)W18DS-D (3ABN)WCNT-LP 36 (3ABN)W21BZ (3ABN)
